date,minimum_temperature_(celsius),maximum_temperature_(celsius),rainfall_(mm),evaporation_(mm),sunshine_(hours),direction_of_maximum_wind_gust,speed_of_maximum_wind_gust_(km/h),time_of_maximum_wind_gust,9am_temperature_(celsius),9am_relative humidity_(percentage),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_temperature_(celsius),3pm_relative_humidity_(percentage),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
01/03/2023,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36:00,14.9,94.0,7.0,W,7.0,1013.3,20.7,61.0,7.0,SSW,9.0,1013.2
02/03/2023,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14:00,16.1,73.0,7.0,WSW,9.0,1014.8,21.2,59.0,7.0,SW,9.0,1014.3
03/03/2023,15.5,19.8,0.2,4.0,7.9,SSW,35.0,13:07:00,16.6,65.0,6.0,SE,13.0,1018.9,18.6,54.0,1.0,SSW,24.0,1017.3
04/03/2023,14.1,31.4,0.0,7.6,5.7,NNE,31.0,13:21:00,16.8,76.0,6.0,NE,7.0,1013.3,30.2,36.0,6.0,NNW,15.0,1008.0
05/03/2023,16.5,32.9,0.0,6.6,7.2,NNW,44.0,10:18:00,23.2,57.0,1.0,N,13.0,1003.9,29.2,31.0,5.0,SSW,6.0,1000.8
06/03/2023,15.5,25.3,5.6,10.8,11.2,NNW,50.0,09:54:00,17.4,63.0,1.0,NW,13.0,1004.9,24.0,37.0,3.0,NW,11.0,1003.0
07/03/2023,15.4,23.2,0.0,8.8,7.6,NNW,50.0,15:08:00,16.7,55.0,7.0,NNW,15.0,1006.7,21.3,39.0,6.0,NW,15.0,1003.9
08/03/2023,12.3,19.4,1.0,9.6,8.7,NW,48.0,23:33:00,13.4,62.0,1.0,NW,11.0,1007.3,18.2,35.0,7.0,W,9.0,1006.6
09/03/2023,12.9,22.1,0.0,5.2,6.2,W,31.0,09:34:00,14.5,63.0,7.0,WNW,7.0,1012.0,20.2,52.0,7.0,S,9.0,1011.9
10/03/2023,14.5,24.0,0.0,4.6,8.2,SSE,28.0,19:41:00,17.1,68.0,7.0,NW,6.0,1017.0,22.5,51.0,1.0,SSW,11.0,1014.5
11/03/2023,13.3,24.7,0.0,6.0,10.5,SSW,31.0,16:49:00,16.4,86.0,1.0,NA,0.0,1014.4,24.0,47.0,3.0,SSW,13.0,1011.9
12/03/2023,15.5,20.7,0.0,7.0,2.5,SSW,37.0,14:44:00,17.4,67.0,7.0,SSE,9.0,1014.8,19.6,58.0,6.0,SSW,17.0,1015.4
13/03/2023,11.7,22.4,0.0,2.4,9.6,S,30.0,15:34:00,16.4,68.0,7.0,S,7.0,1018.2,21.3,55.0,1.0,SSW,13.0,1016.6
14/03/2023,15.9,30.5,0.0,5.2,8.3,NNW,31.0,09:23:00,17.6,81.0,6.0,NNE,9.0,1016.5,30.3,34.0,6.0,N,13.0,1012.8
15/03/2023,17.6,22.9,0.0,8.0,5.1,SSW,24.0,14:28:00,19.0,81.0,8.0,SSW,6.0,1013.8,21.6,69.0,7.0,SSW,11.0,1010.3
16/03/2023,17.3,28.5,0.0,4.8,6.7,WSW,39.0,20:28:00,18.6,63.0,7.0,W,11.0,1010.0,27.6,40.0,2.0,WSW,13.0,1007.4
17/03/2023,15.8,24.6,2.6,6.6,10.6,SSW,28.0,23:34:00,16.8,64.0,4.0,W,7.0,1016.6,22.6,41.0,1.0,S,9.0,1014.7
18/03/2023,14.6,36.2,0.0,7.4,2.9,N,52.0,10:56:00,23.1,43.0,7.0,N,13.0,1011.4,32.0,27.0,7.0,N,17.0,1008.9
19/03/2023,17.3,19.0,0.0,8.8,0.0,SSW,28.0,18:58:00,17.4,74.0,8.0,SSE,7.0,1019.7,18.1,70.0,7.0,S,11.0,1020.1
20/03/2023,14.9,20.8,0.0,3.8,8.2,SSW,41.0,14:29:00,15.7,56.0,3.0,SE,17.0,1027.8,20.3,42.0,2.0,S,15.0,1026.5
